unique_id,metric,Naive,WindowAverage,RWD,AutoARIMA,AutoETS,SeasonalNaive,SeasWA,Best-Fit,Equal-All,Equal-Best3,InverseMSE,InverseMSE-Best3
store_28,mape,0.2126787647725813,0.1757410104503494,0.22303004385383726,0.030543951466248737,0.17602768092854484,0.1634675724745672,,0.030543951466248737,0.17121596002186068,0.11849216624505347,0.03530072757779827,0.03170134515133406
store_29,mape,0.2028516558819675,0.162445127255186,0.22489039861832028,0.03074488694833071,0.16356287877005737,0.15316369055239984,,0.03074488694833071,0.16950661322776636,0.11174124150622117,0.041680349933525374,0.035167018329788254
store_3,mape,0.21200980133952874,0.1798326877546449,0.22337584067859556,0.04039272218383749,0.19628436402910523,0.12932344171798274,,0.04039272218383749,0.17144424712565393,0.09397135027357051,0.056826220054660315,0.04425045201464175
store_30,mape,0.190903041730266,0.15319100405704691,0.20255427054953917,0.03277690137462744,0.15678665581706971,0.1675580790864078,,0.03277690137462744,0.14506892240422464,0.10638727968166924,0.044079497327612085,0.03642432735960985
store_31,mape,0.19151789080678241,0.15641377790143687,0.20412365092774187,0.028428672339074687,0.15637045437134944,0.13610090005296283,,0.028428672339074687,0.17100628011359828,0.10764273523823877,0.03406576804947069,0.030574779359200405
store_32,mape,0.25454695369111086,0.2062362416118274,0.2720316161229346,0.03141764494881064,0.20390152323337768,0.1656975670659499,,0.03141764494881064,0.18296170224592784,0.11766960048289249,0.03774312247032683,0.032220758024366025
store_33,mape,0.1984667575139498,0.16932237894168448,0.21039934095083557,0.04399791126175162,0.1664226863862607,0.14588182737194402,,0.04399791126175162,0.17297497854122576,0.10026899339054544,0.061194498971169096,0.04840572464570545
store_34,mape,0.15927995999154645,0.13481599349170403,0.17014016564520143,0.029333057388634533,0.13755998075607861,0.1817040963003121,,0.029333057388634533,0.16349389347545976,0.09464526550369895,0.041895992322277545,0.034837763166305276
store_35,mape,0.19050104603615414,0.1483834088682518,0.2070215482335872,0.04231716283596147,0.1565470668882812,0.1566420397176369,,0.04231716283596147,0.1770214813677808,0.10533747338270634,0.054455397724793214,0.044128700980386154
store_36,mape,0.19531831318903975,0.14729050760639376,0.21093679209499322,0.026298728058472238,0.14471810177253558,0.13415742219557672,,0.026298728058472238,0.15590365346650495,0.09925323434112437,0.029917365497000976,0.027811880600614475
store_37,mape,0.24231709256114767,0.18687451406840436,0.2630262393353466,0.037618551108191,0.18891332216867832,0.15398205085004457,,0.037618551108191,0.1810370028809494,0.10418299459787528,0.045457334798000244,0.03989997328627551
store_38,mape,0.22297434532291277,0.16921823810946104,0.23761967397734773,0.030957528962916994,0.17535348854766464,0.15342232553543694,,0.030957528962916994,0.17991775574649452,0.12028653470230442,0.04322583776451197,0.03540311746446826
store_39,mape,0.15638274383076387,0.1274043310085384,0.1672859327303158,0.026267970902180925,0.11863175853997203,0.11145547360720719,,0.026267970902180925,0.15181237343064266,0.07127093516234637,0.03489450473864043,0.027998038226197588
store_4,mape,0.2459538239183764,0.1993265775078873,0.2656530227404799,0.03767323884953657,0.20249386761140917,0.20784590123879554,,0.03767323884953657,0.1800098287169299,0.13507256901628867,0.0450841550022148,0.040089783145377256
store_40,mape,0.23603371499447304,0.18680820405204968,0.2571031717146808,0.03429180875195344,0.18269853796738844,0.16058467483441938,,0.03429180875195344,0.1645750302893748,0.12463214199415334,0.038212585180466344,0.03532666518685424
